,Fold,Accuracy,Precision,Recall,F1 (weighted),F1 (Macro),ROC AUC,Balanced Accuracy,Runtime,Accuracy,Precision,Recall,F1 (weighted),F1 (Macro),ROC AUC,Balanced Accuracy,Runtime,Harmonization Strategy,Stratification Strategy
SVM,0,0.9444618763727644,0.9433951634184824,0.9444618763727644,0.9364456255237189,0.9881331986645268,0.9923657311802583,0.9858474445871837,0.9069356659999812,0.6787954830614805,0.6805321700434587,0.6787954830614805,0.6703314403622813,0.5850939298924438,0.7839716562051544,0.573433607963727,0.9069356659999812,unharmonized,Stratified
SVM,1,0.9469720740508315,0.9451440306451785,0.9469720740508315,0.941380945159157,0.9890939242138702,0.9929315233322966,0.9869176869935119,0.7846227500000396,0.6775407779171895,0.6744826782691172,0.6775407779171895,0.6639789584095722,0.5163287874799115,0.7534744340706009,0.5125959824228398,0.7846227500000396,unharmonized,Stratified
SVM,2,0.9444618763727644,0.942029667562186,0.9444618763727644,0.9379802359510068,0.9887121261493981,0.9928986033258045,0.9869012452142888,0.8015230830000064,0.6787954830614805,0.6767246273124887,0.6787954830614805,0.6629350292826857,0.5236497890355075,0.7590737444019909,0.5214867801813414,0.8015230830000064,unharmonized,Stratified
SVM,3,0.9494822717288987,0.9469857464672932,0.9494822717288987,0.9448437252529044,0.9904088249138474,0.9938376293715249,0.9886737501644494,0.9605157500000132,0.6700125470514429,0.6772523980574054,0.6700125470514429,0.663678122179669,0.5374636445677259,0.7756204024393166,0.5578800088322324,0.9605157500000132,unharmonized,Stratified
SVM,4,0.9466750313676286,0.9456453945346114,0.9466750313676286,0.9408963186825559,0.9890123933509856,0.9926759223541455,0.9864177980005717,0.8308242920001021,0.6846733668341709,0.6857954320831876,0.6846733668341709,0.6736294405393088,0.59942672648159,0.8011878171918967,0.6050760345713928,0.8308242920001021,unharmonized,Stratified
NB,0,0.6008785691873235,0.6443542125275158,0.6008785691873235,0.6044297005692086,0.648625863873205,0.841699872487641,0.6900910979187395,0.012182958000039434,0.4504391468005019,0.4956814524883588,0.4504391468005019,0.45403214847679285,0.34843702712930297,0.6724709772675646,0.35405325938288135,0.012182958000039434,unharmonized,Stratified
NB,1,0.5996234703482899,0.6510608498858231,0.5996234703482899,0.6056727358658286,0.6554727211646332,0.8503129530340328,0.7072984703640481,0.01281079199998203,0.39523212045169387,0.44620254390263187,0.39523212045169387,0.4067669282422826,0.28008170919097797,0.6433078879107199,0.29676348109640355,0.01281079199998203,unharmonized,Stratified
NB,2,0.5914653278945717,0.6430286568071669,0.5914653278945717,0.5972984908372241,0.6371333651332991,0.8439600866931031,0.6947212208651579,0.011904584000035356,0.42910915934755334,0.4765510700401371,0.42910915934755334,0.43738698294863587,0.3108383173149191,0.6552208957472837,0.31697267664671513,0.011904584000035356,unharmonized,Stratified
NB,3,0.6049576404141827,0.6531194429675681,0.6049576404141827,0.6074833787568171,0.6445156987112438,0.8497644482662748,0.7061234060096627,0.011400957999967432,0.45545796737766625,0.5158269596484433,0.45545796737766625,0.45872362018749985,0.33387630907599775,0.6764312524298751,0.3597790961847209,0.011400957999967432,unharmonized,Stratified
NB,4,0.5962986198243413,0.6503668276024539,0.5962986198243413,0.6001237490967155,0.6517740782064545,0.844645629801558,0.6960139983368052,0.01174883300006968,0.48743718592964824,0.5400626976184972,0.48743718592964824,0.4917159242236623,0.3961430466766551,0.7084008576276719,0.4255030932701346,0.01174883300006968,unharmonized,Stratified
SVM,0,0.9460307499215563,0.9460365926320974,0.9460307499215563,0.9382615854072477,0.988133548239395,0.9923498528774409,0.9857894157965846,0.8346298750000187,0.6687578419071518,0.6669341253398017,0.6687578419071518,0.6556920993404833,0.5459838933428045,0.7717925801246676,0.5492171974590662,0.8346298750000187,unharmonized,Random
SVM,1,0.9494822717288987,0.9486009552054068,0.9494822717288987,0.9420569294891333,0.9892311625011766,0.9929974767556247,0.9870196104948242,0.71416499999998,0.6750313676286073,0.6587697913964474,0.6750313676286073,0.652674054486964,0.5840646153860283,0.7905623280815115,0.585452867233613,0.71416499999998,unharmonized,Random
SVM,2,0.9463445246313147,0.9447762480557078,0.9463445246313147,0.940936756472212,0.9893593895520927,0.9930905166860989,0.9872456353953064,0.8042201250000289,0.6913425345043914,0.6979510936996998,0.6913425345043914,0.6831735125715398,0.5944109902040984,0.785058577730499,0.5754160075969121,0.8042201250000289,unharmonized,Random
SVM,3,0.9438343269532475,0.9418671252231559,0.9438343269532475,0.9386103519994994,0.9888638180588056,0.9927337373933024,0.9865726928195262,0.8858773750000637,0.6762860727728983,0.6787930897762622,0.6762860727728983,0.6694576128748351,0.4853634832426551,0.7495374236957479,0.5046422459396335,0.8858773750000637,unharmonized,Random
SVM,4,0.9454203262233375,0.9424487180817318,0.9454203262233375,0.939505443246537,0.9891517777613696,0.9930371605766445,0.9871567708911898,0.7476046659999156,0.6683417085427136,0.6626013674348505,0.6683417085427136,0.6576723858871436,0.5757767021340633,0.7886233196980128,0.5858549225460983,0.7476046659999156,unharmonized,Random
NB,0,0.5798556636335112,0.6460884872793976,0.5798556636335112,0.5895784708690098,0.6463712160364853,0.844067007453912,0.6950811453196957,0.011162499999954889,0.39397741530740277,0.4765519861087289,0.39397741530740277,0.410430042234878,0.3301370993329451,0.6627549508582538,0.33550454574092714,0.011162499999954889,unharmonized,Random
NB,1,0.6121744587386256,0.6769014887764006,0.6121744587386256,0.6263711087004861,0.6669193829332549,0.8521954203918634,0.7108167253655566,0.011308708000001388,0.44165621079046424,0.4983027268900783,0.44165621079046424,0.4486579227824885,0.38675638109534094,0.6934422900923249,0.4035949740268391,0.011308708000001388,unharmonized,Random
NB,2,0.6040163162849075,0.6548446510824807,0.6040163162849075,0.6061399221980721,0.6644987188764635,0.8510669540726938,0.7087734197121598,0.01091024999993806,0.4454203262233375,0.5229039067792255,0.4454203262233375,0.45526472409664065,0.3255929641451659,0.668263818868768,0.34571869483736706,0.01091024999993806,unharmonized,Random
NB,3,0.6015061186068403,0.6450988251612229,0.6015061186068403,0.6019567351589877,0.6533802280698099,0.8508849123647315,0.7084304301466957,0.01133408300006522,0.45420326223337515,0.510528692977035,0.45420326223337515,0.46559347437084936,0.3001041156247314,0.6608643715965952,0.3308296640799343,0.01133408300006522,unharmonized,Random
NB,4,0.6016311166875784,0.6465352482252507,0.6016311166875784,0.601988019757207,0.6414532099997985,0.8448941978084501,0.6964581360688619,0.011723625000058746,0.4484924623115578,0.4785039177461607,0.4484924623115578,0.4470910201063151,0.329495456639162,0.6725066387000268,0.35906451380923854,0.011723625000058746,unharmonized,Random
SVM,0,0.7612174458738625,0.8411387465163684,0.7612174458738625,0.7585488644670911,0.8087932132524476,0.8846788993304924,0.7740207621616735,4.681914875000075,0.1480552070263488,0.08999408157950807,0.1480552070263488,0.10713719376316748,0.010334260942973399,0.49870535899576,0.01253854338514482,4.681914875000075,combat,Stratified
SVM,1,0.7690618136178224,0.8449333928433841,0.7690618136178224,0.7674247136619918,0.8103404902788347,0.8833667956898263,0.7712334830969455,4.92565254200008,0.15307402760351319,0.09395284089899497,0.15307402760351319,0.10802235603849492,0.012062541941832858,0.4998249738864289,0.01461855476680206,4.92565254200008,combat,Stratified
SVM,2,0.7505491057420772,0.842184768699374,0.7505491057420772,0.7480686945802494,0.7964543743072128,0.8770903028691805,0.7590750478781438,4.893865708000021,0.1480552070263488,0.07772613659316815,0.1480552070263488,0.09941320355373054,0.008207070707070708,0.49477819308655774,0.011314370307708575,4.893865708000021,combat,Stratified
SVM,3,0.7332914967053655,0.8303990905457995,0.7332914967053655,0.7300439541508463,0.7714540313719529,0.8560434062494418,0.717320534582047,4.818503666999959,0.16813048933500627,0.09064047637916513,0.16813048933500627,0.11220416844563676,0.011111364425916277,0.5014321147473473,0.015432371041970802,4.818503666999959,combat,Stratified
SVM,4,0.7434127979924717,0.8332617314429711,0.7434127979924717,0.7421896454250918,0.7800643657348273,0.8653062823271999,0.7356261533889875,4.235014125000021,0.15829145728643215,0.08928513616974618,0.15829145728643215,0.1088010215992488,0.010842664934343346,0.49891624423117914,0.013706583299669225,4.235014125000021,combat,Stratified
NB,0,0.12707875745214936,0.15553377984610034,0.12707875745214936,0.11560926465784856,0.09754200351482203,0.5786446439295816,0.1717837891218806,0.011294791000068471,0.07653701380175659,0.087102126051765,0.07653701380175659,0.08070627099149273,0.006771483296705986,0.4953826652609045,0.006149018925444435,0.011294791000068471,combat,Stratified
NB,1,0.11703796673988076,0.16029615281117815,0.11703796673988076,0.10863436498870045,0.10001353392961596,0.5807395679977267,0.1758668370316286,0.012897208000026694,0.0451693851944793,0.06852183188794402,0.04516938519447931,0.052473990903643686,0.005874274733075506,0.49530302384366964,0.00650581203976646,0.012897208000026694,combat,Stratified
NB,2,0.13084405396925008,0.19077101676888397,0.13084405396925008,0.12054179128702491,0.10336756562689633,0.5757766135920568,0.1659671798945812,0.011649041999930887,0.056461731493099125,0.07470480263189766,0.056461731493099125,0.06260906660415903,0.007054472590540273,0.48238715205755234,0.007589322430181054,0.011649041999930887,combat,Stratified
NB,3,0.13147160338876687,0.1604659921905255,0.13147160338876687,0.11807283814496593,0.09775010444749224,0.5802887323972313,0.1749083568851671,0.01185583400001633,0.06524466750313676,0.0678194666741738,0.06524466750313676,0.061099364443802644,0.00965866567555519,0.49866881140004626,0.018507099626974277,0.01185583400001633,combat,Stratified
NB,4,0.14209535759096611,0.16127106834337507,0.14209535759096611,0.1287438737654629,0.09756197413157183,0.5675616522400293,0.14945058503590178,0.010716250000086802,0.06909547738693467,0.07187587317167803,0.06909547738693467,0.06826285265248268,0.007876974403152902,0.4960022745858852,0.015012503494178887,0.010716250000086802,combat,Stratified
SVM,0,0.7395669909005335,0.8345430062523801,0.7395669909005335,0.7369692736152288,0.7982053561339284,0.8719026537409373,0.7489470995342364,4.617545167000003,0.14429109159347553,0.07756194416856922,0.14429109159347553,0.09820745851267655,0.009482975313812009,0.4985789577110189,0.012317136122798816,4.617545167000003,combat,Random
SVM,1,0.7558832758079699,0.8362166349324743,0.7558832758079699,0.7510842382259079,0.7896496351748076,0.8805438475214318,0.7658368368060806,4.70074729199996,0.13174404015056462,0.07698138854035969,0.13174404015056462,0.08909826847713555,0.008943871295925136,0.4955884046382303,0.011854735368947253,4.70074729199996,combat,Random
SVM,2,0.7301537496077816,0.8317432698933039,0.7301537496077816,0.72646923746283,0.7730170524034582,0.860755802644958,0.726797755535579,4.489814540999987,0.1480552070263488,0.07686437516115975,0.1480552070263488,0.1003058029843464,0.007914687910271164,0.4978182422922123,0.010948541853289539,4.489814540999987,combat,Random
SVM,3,0.7301537496077816,0.8295344755142006,0.7301537496077816,0.7276833951511479,0.7625214188203526,0.8549809530588691,0.715194065120768,4.5513657080000485,0.18193224592220827,0.11103472294286532,0.18193224592220827,0.13383470840351977,0.010258776815248019,0.49888295144487793,0.012604249306911702,4.5513657080000485,combat,Random
SVM,4,0.7672521957340025,0.8463031399904265,0.7672521957340025,0.7653612042040795,0.8081670862055524,0.8871134197966879,0.7787662190392255,4.432207542000015,0.14321608040201006,0.085034646341179,0.14321608040201006,0.10443125582318889,0.01268522036474164,0.49782138433534184,0.01672672464571567,4.432207542000015,combat,Random
NB,0,0.13649199874490117,0.18256637765160996,0.13649199874490117,0.12455898126082628,0.10229762024613183,0.5764811648784427,0.1672858280088978,0.011643083999956616,0.06524466750313676,0.06890665900248785,0.06524466750313676,0.06448940605508217,0.008467680604174199,0.49826182278565323,0.011975392512077295,0.011643083999956616,combat,Random
NB,1,0.12331346093504864,0.14254279375158482,0.12331346093504864,0.11109412063017965,0.10108999059142143,0.5850880199559214,0.18455142070564795,0.011913791999973,0.033877038895859475,0.056792877814140205,0.033877038895859475,0.04039302030048579,0.005390124198717949,0.4956506487843398,0.009370678033957299,0.011913791999973,combat,Random
NB,2,0.15312205836209603,0.15493029308154208,0.15312205836209603,0.13348533842033428,0.11447514052527681,0.5876412375112849,0.18945470348996513,0.011705042000016874,0.07026348808030113,0.07086349360638816,0.07026348808030113,0.06813039568546934,0.007678536761435173,0.49765846292618054,0.010871732717339615,0.011705042000016874,combat,Random
NB,3,0.1057420771885786,0.1502163564976966,0.1057420771885786,0.09782884369274923,0.08568482881451217,0.5667786540011933,0.14814613452223885,0.011620957999980419,0.060225846925972396,0.10131893409810601,0.060225846925972396,0.07223317593230007,0.008525796532064072,0.5008613371347265,0.017154371251220532,0.011620957999980419,combat,Random
NB,4,0.1471141781681305,0.14321261500302057,0.1471141781681305,0.12953905478623962,0.0984972896910808,0.5727185363573809,0.15972745511523156,0.010872541000026104,0.07914572864321608,0.0821122898679801,0.07914572864321608,0.07957795408042095,0.009625267974254129,0.49954562417507037,0.012660683967984476,0.010872541000026104,combat,Random
SVM,0,0.6852839661123313,0.8211738194656399,0.6852839661123313,0.6824888952686742,0.7279535715567544,0.8292126238773152,0.6646750712777847,4.590125917000023,0.17691342534504392,0.09623920876794095,0.17691342534504392,0.11271664262471472,0.010817319783116047,0.4996246900096514,0.014297753986869315,4.590125917000023,covbat,Stratified
SVM,1,0.6808911201757138,0.8192778173420561,0.6808911201757138,0.6745721101332072,0.7099375748120509,0.8149064945475416,0.6361408205590713,4.899562875000015,0.191969887076537,0.09469142778804902,0.191969887076537,0.11760721848195894,0.011730454664111902,0.5006166653169233,0.01636428111191046,4.899562875000015,covbat,Stratified
SVM,2,0.7063068716661437,0.8280320628678671,0.7063068716661437,0.7020265792102625,0.7453206430955952,0.838797552817858,0.6833928805525273,4.557631166999954,0.16311166875784192,0.07944480337040859,0.16311166875784192,0.10410876375102204,0.008674802080456597,0.49863180085114156,0.012502496680883062,4.557631166999954,covbat,Stratified
SVM,3,0.6630059617194854,0.8095091650842402,0.6630059617194854,0.6518166685948006,0.6719332467397168,0.7960100727357563,0.5987034011846236,4.365701208000019,0.18695106649937265,0.08503764115432874,0.18695106649937265,0.1121310144984065,0.010518796874029238,0.49851776905474854,0.015859364821740437,4.365701208000019,covbat,Stratified
SVM,4,0.6555834378920954,0.8211329882261548,0.6555834378920954,0.6520859388004714,0.6924875785109649,0.8000932245879012,0.6070817122042362,5.151845625000078,0.1871859296482412,0.08341393649880528,0.1871859296482412,0.11093197812466236,0.009143036718738342,0.498775395688035,0.013999336050460167,5.151845625000078,covbat,Stratified
NB,0,0.1346093504863508,0.14484015475888246,0.1346093504863508,0.12018122846009821,0.09809210364469895,0.5817719666312522,0.1779037949775632,0.011936125000033826,0.06398996235884567,0.08330107447214603,0.06398996235884567,0.07226709670429812,0.0069760049323056034,0.4952893913160543,0.006063053001227556,0.011936125000033826,covbat,Stratified
NB,1,0.11735174144963915,0.1520212905725893,0.11735174144963915,0.10427706239818228,0.09031789366682341,0.584812205526517,0.18401360359293367,0.011808958999949937,0.04265997490589712,0.07292549094973509,0.04265997490589712,0.050756177357935174,0.005267362233620213,0.4946344487258715,0.0051333592736786515,0.011808958999949937,covbat,Stratified
NB,2,0.11390021964229684,0.17780008012773874,0.11390021964229684,0.1065256143130431,0.1064935090617254,0.5817244707813842,0.17788366181551057,0.010773166000035417,0.04642409033877039,0.08844697297624943,0.04642409033877039,0.05743164345684631,0.007837972056362209,0.4864809390580426,0.011267629670959749,0.010773166000035417,covbat,Stratified
NB,3,0.14151239410103544,0.16342754102814158,0.14151239410103544,0.12656844570730572,0.10002996286566535,0.5798332786332497,0.17393296593450147,0.011998082999980397,0.07528230865746549,0.07689461235991482,0.07528230865746549,0.07075369390842767,0.010172286632836616,0.49983118897972606,0.016651453010673386,0.011998082999980397,covbat,Stratified
NB,4,0.12892095357590966,0.14212413782244557,0.12892095357590966,0.11173716150526306,0.0855179113351023,0.5723218599572488,0.1589940950153395,0.011251165999965451,0.06658291457286432,0.08332872080725717,0.06658291457286432,0.06857178645127825,0.007978484473351288,0.4985455299390852,0.00894030016681695,0.011251165999965451,covbat,Stratified
SVM,0,0.6648886099780358,0.8185087068028406,0.6648886099780358,0.6564546574480186,0.7182097801140827,0.8201246869820709,0.646961281853426,4.502096583000025,0.18318695106649938,0.08384941952968485,0.18318695106649938,0.1100141742962297,0.010641463372254656,0.5001818619038156,0.01520436438366838,4.502096583000025,covbat,Random
SVM,1,0.706620646375902,0.8231086930981224,0.706620646375902,0.701853624930819,0.7431798764563242,0.8428739586805585,0.6915631154586169,4.489406417000055,0.14554579673776663,0.06629290527722281,0.14554579673776663,0.08769676957950513,0.00845409176840014,0.49934143900138067,0.012668210342628949,4.489406417000055,covbat,Random
SVM,2,0.6912456855977408,0.8220692438266607,0.6912456855977408,0.6857463071354074,0.7245432779559553,0.8253982909287385,0.6569004425138081,4.385001958999965,0.15432873274780426,0.07468783537735382,0.15432873274780426,0.09978382050395364,0.008202618498775393,0.49819544545534844,0.011799231113765303,4.385001958999965,covbat,Random
SVM,3,0.655475368685284,0.8194988759191922,0.655475368685284,0.6493195360213692,0.6771033846669752,0.7966803111375569,0.6001616975886517,4.330204999999978,0.19698870765370138,0.10217988782987963,0.19698870765370138,0.12914940650404882,0.009642757894192614,0.4990626554988823,0.013225345236434649,4.330204999999978,covbat,Random
SVM,4,0.6838143036386449,0.8237579918498548,0.6838143036386449,0.6802006564814992,0.7209707008082225,0.8192619991480062,0.6448465660989899,4.704562917000089,0.16959798994974876,0.08048766560073092,0.16959798994974876,0.10529152438482561,0.009649480215597025,0.49900798170835853,0.013658570389106405,4.704562917000089,covbat,Random
NB,0,0.12174458738625667,0.14966597378626104,0.12174458738625667,0.1094908641042454,0.10478974006475653,0.583090904460602,0.18060625271497735,0.010826041000086661,0.06524466750313676,0.09036520105398733,0.06524466750313676,0.07297264054747475,0.009005804764733337,0.4980252015152568,0.011305480072463767,0.010826041000086661,covbat,Random
NB,1,0.12362723564480703,0.1657041175877861,0.12362723564480703,0.11415408769921105,0.11576529174682734,0.5866302085302111,0.1875413647050013,0.010900083999899834,0.03262233375156838,0.06185935524254075,0.03262233375156838,0.03872742698431009,0.0056072586272226535,0.49302867542046597,0.0052009684932621545,0.010900083999899834,covbat,Random
NB,2,0.14057106997176028,0.16150283562437928,0.14057106997176028,0.12270707944650175,0.10713379220484863,0.5912336213797568,0.19674102768002485,0.01092637499993998,0.07779171894604768,0.08293227936957713,0.07779171894604768,0.07555729610628065,0.008653660919265081,0.49743438748499075,0.010233857152946807,0.01092637499993998,covbat,Random
NB,3,0.11735174144963915,0.15422035273986814,0.11735174144963915,0.10508461101271137,0.08591675692891548,0.5710910061657472,0.1566354121529736,0.011248166000086712,0.0740276035131744,0.11699153467590191,0.0740276035131744,0.08893489861471039,0.009803123252742591,0.49773358027891274,0.010741160200465078,0.011248166000086712,covbat,Random
NB,4,0.12452948557089084,0.1572652086601839,0.12452948557089084,0.11248739424402739,0.09082627182927705,0.5759859445051321,0.16640913817834296,0.011699833999955445,0.04020100502512563,0.06127109154401517,0.04020100502512563,0.04690548362366647,0.006338065222625098,0.49944449883210645,0.008187519489969161,0.011699833999955445,covbat,Random
